write,1765559620418131715,1,0,1,92,1
write,1765559620418252772,0,0,1,16,1
write,1765559620421383037,2,0,1,63,1
write,1765559620424646011,4,0,1,14,1
write,1765559620425047226,3,0,1,57,1
write,1765559620425863786,5,0,1,48,1
write,1765559620427791624,6,0,1,13,1
write,1765559620429943562,7,0,1,38,1
write,1765559620430147143,8,0,1,77,1
write,1765559620431261089,9,0,1,87,1
write,1765559620433764973,11,1,2,13,1
write,1765559620434183088,12,0,1,72,1
write,1765559620434838505,10,0,1,54,1
write,1765559620437181349,13,0,1,11,1
write,1765559620439338501,15,0,1,78,1
write,1765559620440473716,14,0,1,5,1
write,1765559620440514689,17,0,1,50,1
write,1765559620440554930,16,0,1,35,1
write,1765559620443050684,18,0,1,18,1
write,1765559620443916613,19,0,1,76,1
write,1765559620444083350,20,0,1,75,1
write,1765559620444471555,21,0,1,71,1
write,1765559620447690156,23,1,2,77,1
write,1765559620447779981,24,0,1,82,1
write,1765559620448195719,22,0,1,95,1
write,1765559620450512986,25,0,1,64,1
write,1765559620451688103,26,0,1,21,1
write,1765559620451899555,27,0,1,40,1
write,1765559620453693990,28,0,1,19,1
write,1765559620455082123,29,0,1,24,1
write,1765559620458102018,31,0,1,49,1
write,1765559620458261054,30,1,2,57,1
write,1765559620458576734,32,1,2,82,1
write,1765559620461735943,34,1,2,87,1
write,1765559620462364921,35,0,1,27,1
write,1765559620462911124,33,0,1,83,1
write,1765559620466334767,36,1,2,95,1
write,1765559620466762062,37,1,2,63,1
write,1765559620467315911,38,0,1,8,1
write,1765559620471480945,39,0,1,31,1
write,1765559620482164181,40,0,1,52,1
write,1765559620482912840,41,0,1,65,1
write,1765559620483102687,42,0,1,99,1
write,1765559620485987420,43,0,1,44,1
write,1765559620486785612,44,0,1,9,1
write,1765559620487409520,45,0,1,86,1
write,1765559620487837429,46,0,1,20,1
write,1765559620490175869,47,0,1,79,1
write,1765559620491327493,48,0,1,90,1
write,1765559620493131216,49,3,3,57,1
write,1765559620494360553,50,0,1,55,1
write,1765559620495376159,51,6,4,57,1
write,1765559620496402602,52,1,2,71,1
write,1765559620498970084,54,0,1,61,1
write,1765559620499240236,53,0,1,97,1
write,1765559620501701204,55,1,2,64,1
write,1765559620503292257,56,1,2,90,1
write,1765559620504428632,57,0,1,15,1
write,1765559620506068279,58,0,1,68,1
write,1765559620508320107,59,0,1,26,1
write,1765559620514145884,60,1,2,19,1
write,1765559620519331720,61,1,2,5,1
write,1765559620523950516,62,0,1,93,1
write,1765559620526977181,63,0,1,53,1
write,1765559620527793981,64,1,2,78,1
write,1765559620530350883,65,1,2,15,1
write,1765559620530723170,66,0,1,4,1
write,1765559620530980085,67,3,3,63,1
write,1765559620534429291,68,0,1,39,1
write,1765559620535675501,69,10,5,57,1
write,1765559620535945209,70,1,2,52,1
write,1765559620536072139,71,1,2,79,1
write,1765559620538744061,72,0,1,28,1
write,1765559620540809370,73,0,1,100,1
write,1765559620541859434,74,3,3,15,1
write,1765559620542776302,75,0,1,62,1
write,1765559620545882857,76,1,2,92,1
write,1765559620545934018,77,0,1,23,1
write,1765559620546205360,79,0,1,1,1
write,1765559620546858125,78,1,2,21,1
write,1765559620549471000,80,0,1,73,1
write,1765559620550051554,81,0,1,30,1
write,1765559620550673622,82,1,2,97,1
write,1765559620551541560,83,3,3,90,1
write,1765559620552347691,84,1,2,50,1
write,1765559620554443222,85,0,1,98,1
write,1765559620559075822,86,3,3,19,1
write,1765559620559197794,87,1,2,65,1
write,1765559620562181505,88,0,1,70,1
write,1765559620563337401,89,0,1,42,1
