write,128561667,149777,0
write,89968543,932917,1
write,88514369,379152,2
write,91716199,5597,3
write,92530807,515868,4
write,89456461,41402,5
write,91083898,555055,6
write,102163121,75391,7
write,91467699,211006,8
write,90346450,197644,9
write,90457177,85008,10
write,88708706,995866,11
write,89853373,53318,12
write,90457208,835512,13
write,96138791,642976,14
write,88763004,358051,15
write,86491242,513517,16
write,90738906,196957,17
write,90652057,53149,18
write,117379846,743833,19
write,114857925,53848,20
write,128707047,905512,21
write,131610547,477848,22
write,194845230,717289,23
write,203692038,60953,24
write,384130356,22719,25
write,372841974,280068,26
write,173297417,967200,27
write,526499592,393192,28
write,495140529,656875,29
write,448247425,539173,30
write,600049492,505169,31
write,672020184,496053,32
write,937143988,438227,33
write,633577099,161473,34
write,681218979,164432,35
write,922987196,292068,36
write,1224563560,239626,37
write,1581764082,929693,38
write,622836537,583478,39
write,1819075756,510880,40
write,1039779330,11835,41
write,1764423166,89632,42
write,1166643430,765879,43
write,1611812799,200284,44
write,1640812910,239340,45
write,2220415114,155203,46
write,1437105646,331425,47
write,1998539797,897422,48
write,2061813401,682209,49
