0.267975,0.01
0.271101,0.02
0.273132,0.03
0.274678,0.04
0.275963,0.05
0.277072,0.06
0.278057,0.07
0.27895600000000004,0.08
0.279784,0.09
0.280561,0.1
0.2813,0.11
0.281996,0.12
0.28267,0.13
0.28332,0.14
0.28394400000000003,0.15
0.28455,0.16
0.28514700000000004,0.17
0.285727,0.18
0.286285,0.19
0.286843,0.2
0.287394,0.21
0.28793599999999997,0.22
0.288471,0.23
0.289001,0.24
0.28952900000000004,0.25
0.290055,0.26
0.29057900000000003,0.27
0.291098,0.28
0.291624,0.29
0.292147,0.3
0.29267,0.31
0.293194,0.32
0.293723,0.33
0.29425300000000004,0.34
0.294789,0.35
0.295325,0.36
0.295863,0.37
0.29641,0.38
0.296961,0.39
0.297515,0.4
0.298079,0.41
0.298646,0.42
0.299222,0.43
0.299806,0.44
0.3004,0.45
0.30100299999999997,0.46
0.30161499999999997,0.47
0.302232,0.48
0.30285799999999996,0.49
0.303498,0.5
0.304151,0.51
0.304812,0.52
0.305494,0.53
0.306182,0.54
0.306888,0.55
0.307604,0.56
0.308335,0.57
0.30908399999999997,0.58
0.30985,0.59
0.31063599999999997,0.6
0.31144099999999997,0.61
0.312262,0.62
0.313114,0.63
0.31399,0.64
0.314895,0.65
0.315836,0.66
0.31680800000000003,0.67
0.317815,0.68
0.31887899999999997,0.69
0.31999,0.7
0.321161,0.71
0.322393,0.72
0.32370899999999997,0.73
0.325126,0.74
0.326648,0.75
0.328297,0.76
0.330086,0.77
0.332069,0.78
0.33423699999999995,0.79
0.33663299999999996,0.8
0.33936900000000003,0.81
0.34246899999999997,0.82
0.34604999999999997,0.83
0.350263,0.84
0.355243,0.85
0.361087,0.86
0.36801,0.87
0.376355,0.88
0.387377,0.89
0.404939,0.9
0.475285,0.91
23.327306999999998,0.92
48.446619000000005,0.93
56.371151000000005,0.94
60.327240999999994,0.95
60.428951000000005,0.96
64.367124,0.97
68.33509000000001,0.98
76.368886,0.99
