write,1765504345034616051,2,0,1,26901
write,1765504345034768545,3,0,1,434114
write,1765504345034835997,0,0,1,49810
write,1765504345034985700,1,0,1,241176
write,1765504345184426386,4,0,1,737334
write,1765504345184586433,5,0,1,949269
write,1765504345187215586,6,0,1,490083
write,1765504345188158638,7,0,1,490104
write,1765504345316531304,8,0,1,54275
write,1765504345318798254,9,0,1,140067
write,1765504345332685496,10,0,1,329841
write,1765504345339724842,11,0,1,912128
write,1765504345455977103,12,0,1,277203
write,1765504345465533832,13,0,1,763811
write,1765504345475936407,14,0,1,99832
write,1765504345479739965,15,0,1,546924
write,1765504345602746455,16,0,1,575580
write,1765504345604593739,17,0,1,264092
write,1765504345615166615,18,0,1,84663
write,1765504345616772945,19,0,1,230953
write,1765504345739851026,20,0,1,211286
write,1765504345751103567,21,0,1,641446
write,1765504345755041667,22,0,1,165347
write,1765504345764161626,23,0,1,561149
write,1765504345888617404,24,0,1,103970
write,1765504345890132697,25,0,1,862487
write,1765504345900137218,26,0,1,947460
write,1765504345919660106,27,0,1,901600
write,1765504346022889702,28,0,1,69040
write,1765504346033124988,29,0,1,487926
write,1765504346040456108,30,0,1,326378
write,1765504346061053529,31,0,1,355041
write,1765504346167994628,32,0,1,437799
write,1765504346170101677,33,0,1,214605
write,1765504346176259794,34,0,1,181326
write,1765504346211917205,35,0,1,969448
write,1765504346300134767,36,0,1,48166
write,1765504346303296438,37,0,1,96093
write,1765504346321117130,38,0,1,687639
write,1765504346343692245,39,0,1,35398
write,1765504346438326421,40,0,1,140786
write,1765504346447220299,41,0,1,627780
write,1765504346468753967,42,0,1,733510
write,1765504346489895575,43,0,1,584595
write,1765504346576235156,44,0,1,223186
write,1765504346594722463,45,0,1,629471
write,1765504346610340394,46,0,1,340715
write,1765504346624783929,47,0,1,136450
write,1765504346726525920,48,0,1,893486
write,1765504346740198417,49,0,1,586240
write,1765504346752465603,50,0,1,360088
write,1765504346771685101,51,0,1,710942
write,1765504346873802781,52,0,1,598580
write,1765504346884591143,53,0,1,466743
write,1765504346902565636,54,0,1,909843
write,1765504346904662882,55,0,1,90802
write,1765504347004618751,56,0,1,21897
write,1765504347031919147,57,0,1,778956
